Titulo;Autor;Interprete;Tom;Categoria;Categoria rotulo;Link da letra;Link da cifra;Link de referencia;Observacao;Ativo
ALELUIA, NÓS VOS ADORAMOS;Frei Fabreti, OFM;Frei Fabreti, OFM;;ACLAMACAO;Aclamação ao Evangelho;;;;Aclamação ao Evangelho / Exaltação da Santa Cruz;Sim
ALELUIA, VINDE A MIM;Reginaldo Veloso;Reginaldo Veloso;;ACLAMACAO;Aclamação ao Evangelho;;;;Aclamação ao Evangelho / Todos os Santos;Sim
ALELUIA, VINDE ESPÍRITO;Fr. Joel Postma;Fr. Joel Postma;;ACLAMACAO;Aclamação ao Evangelho;;;https://www.youtube.com/watch?v=7HdHVsBdE0w;Aclamação ao Evangelho / Pentecostes;Sim
ALELUIA, VINDE, ESPÍRITO SANTO;Frei Fabreti, OFM;Frei Fabreti, OFM;;ACLAMACAO;Aclamação ao Evangelho;;;https://www.youtube.com/watch?v=SlJDn4Tz-3c;Aclamação ao Evangelho / Pentecostes;Sim
ALELUIA, É ESTA A VONTADE DE QUEM ME ENVIOU;D.R.;D.R.;;ACLAMACAO;Aclamação ao Evangelho;;;;Aclamação ao Evangelho / Comemoração dos Fiéis Defuntos;Sim
ANJOS DO SENHOR;Paulo Neto;Paulo Neto;;COMUNHAO;Comunhão;;;;Comunhão / Santos Arcanjos / Daniel 3;Sim
AVE DE FÁTIMA;Repertório católico tradicional;Músicas Católicas;;MARIANA;Mariana;https://www.cifraclub.com.br/catolicas/ave-de-fatima/;https://www.cifraclub.com.br/catolicas/ave-de-fatima/;https://www.youtube.com/results?search_query=M%C3%BAsicas+Cat%C3%B3licas+AVE+DE+F%C3%81TIMA;Mariana / Nossa Senhora de Fátima;Sim
AVE MARIA;Pe. Zezinho, SCJ;Padre Zezinho;;MARIANA;Mariana;https://www.cifraclub.com.br/padre-zezinho/ave-maria/;https://www.cifraclub.com.br/padre-zezinho/ave-maria/;https://www.youtube.com/results?search_query=Padre+Zezinho+AVE+MARIA;Mariana / Ave-Maria;Sim
AVE, RAINHA DO CÉU;"Liturgia das Horas; música: Pe. José Weber";Pe. José Weber;;FINAL;Final;https://www.cifraclub.com.br/padre-jose-weber/ave-rainha-do-ceu/;https://www.cifraclub.com.br/padre-jose-weber/ave-rainha-do-ceu/;https://www.youtube.com/results?search_query=Pe.+Jos%C3%A9+Weber+AVE%2C+RAINHA+DO+C%C3%89U;"Canto final / antífona mariana; indicada pela CNBB";Sim
AVE, RAINHA DO CÉU (VIRGEM MÃE, Ó MARIA);"Liturgia das Horas; música: D.R.";CNBB / Música Litúrgica;;FINAL;Final;https://www.cifraclub.com.br/cnbb/ave-rainha-do-ceu-virgem-mae-o-maria/;https://www.cifraclub.com.br/cnbb/ave-rainha-do-ceu-virgem-mae-o-maria/;https://www.youtube.com/results?search_query=CNBB+%2F+M%C3%BAsica+Lit%C3%BArgica+AVE%2C+RAINHA+DO+C%C3%89U+%28VIRGEM+M%C3%83E%2C+%C3%93+MARIA%29;Canto final / antífona mariana / Tempo Comum;Sim
BEM AVENTURADA ÉS;"Gradual Romano; música e adaptação: Gílson Celerino";Gílson Celerino;;OFERTORIO;Apresentação das Oferendas;;;;Apresentação das oferendas / Assunção / Imaculada Conceição;Sim
BEM AVENTURADOS;Padre Zezinho;Padre Zezinho;;ENTRADA;Entrada;https://www.cifraclub.com.br/padre-zezinho/bem-aventurados/;https://www.cifraclub.com.br/padre-zezinho/bem-aventurados/;;Entrada / bem-aventuranças;Sim
BENDEZEI O SENHOR NOS ALTOS CÉUS E NAS ALTURAS;Joseph Gelineau;Joseph Gelineau;;COMUNHAO;Comunhão;;;;Comunhão / Santos Arcanjos / Salmo 148;Sim
BENDITO SEJA DEUS;D.R.;D.R.;;ENTRADA;Entrada;;;https://www.youtube.com/watch?v=KhD5qAJlX54;Entrada / Santíssima Trindade;Sim
BENDITO SEJA DEUS PAI;;;;ENTRADA;Entrada;https://www.cifraclub.com.br/catolicas/bendito-seja-deus-pai/;https://www.cifraclub.com.br/catolicas/bendito-seja-deus-pai/;;Entrada / louvor trinitário;Sim
BENDITO SEJA O NOME DO SENHOR;"Missal Romano; música: Pe. José Weber, SVD";Pe. José Weber, SVD;;OFERTORIO;Apresentação das Oferendas;https://www.cifraclub.com.br/pe-jose-weber/bendito-seja-o-nome-do-senhor/;https://www.cifraclub.com.br/pe-jose-weber/bendito-seja-o-nome-do-senhor/;;"Apresentação das oferendas / Ascensão; indicada quando cantada pelo presidente";Sim
BENDITO SEJAS;CNBB / Música Litúrgica;CNBB / Música Litúrgica;;OFERTORIO;Apresentação das Oferendas;https://www.cifraclub.com.br/cnbb/bendito-sejas/;https://www.cifraclub.com.br/cnbb/bendito-sejas/;;Apresentação das oferendas / Missa do Crisma;Sim
BENDITO SEJAS TU;José Alves;José Alves;;ENTRADA;Entrada;https://www.cifraclub.com.br/catolicas/bendito-sejas-tu/;https://www.cifraclub.com.br/catolicas/bendito-sejas-tu/;https://www.youtube.com/watch?v=abwQk_33zJA;Entrada / Santíssima Trindade;Sim
BENDIZEI NOSSO DEUS;Reginaldo Veloso;Reginaldo Veloso;;ENTRADA;Entrada;;;https://www.youtube.com/watch?v=BzRnFAp599Y;Entrada / Santíssima Trindade;Sim
CANTAI AO SENHOR UM NOVO CANTO;"Geraldo Leite Bastos; música: Reginaldo Veloso";Reginaldo Veloso;;OFERTORIO;Apresentação das Oferendas;;;;Apresentação das oferendas / Ascensão do Senhor;Sim
CELEBRAR;Salette Ferreira;Salette Ferreira;;ENTRADA;Entrada;https://www.cifraclub.com.br/salette-ferreira/celebrar/;https://www.cifraclub.com.br/salette-ferreira/celebrar/;;Entrada / celebração;Sim
COM ALEGRIA CANTAR;;;;ENTRADA;Entrada;;;;Entrada / alegria da assembleia;Sim
COM ALEGRIA E GRATIDÃO;Ricardo Sabino;Ricardo Sabino;;ENTRADA;Entrada;;;;Entrada / ação de graças;Sim
COM GRANDE ALEGRIA;Ir. Míria T. Kolling;Ir. Míria T. Kolling;;ENTRADA;Entrada;https://www.cifraclub.com.br/irma-miria-t-kolling/com-grande-alegria/;https://www.cifraclub.com.br/irma-miria-t-kolling/com-grande-alegria/;;Entrada / alegria;Sim
COM MINHA MÃE ESTAREI;Repertório católico tradicional;Músicas Católicas;;MARIANA;Mariana;https://www.cifraclub.com.br/catolicas/com-minha-mae-estarei/;https://www.cifraclub.com.br/catolicas/com-minha-mae-estarei/;https://www.youtube.com/results?search_query=M%C3%BAsicas+Cat%C3%B3licas+COM+MINHA+M%C3%83E+ESTAREI;Mariana / devoção filial;Sim
COM PEDRO E COM PAULO;;;;ENTRADA;Entrada;;;;Entrada / São Pedro e São Paulo;Sim
COMAM DO PÃO;Jacques Berthier;Jacques Berthier;;COMUNHAO;Comunhão;;;;Comunhão / Salmo 18 / Eucaristia;Sim
COMO IREI RETRIBUIR AO MEU SENHOR;CNBB / Música Litúrgica;CNBB / Música Litúrgica;;OFERTORIO;Apresentação das Oferendas;https://www.cifraclub.com.br/cnbb/como-irei-retribuir-ao-meu-senhor/;https://www.cifraclub.com.br/cnbb/como-irei-retribuir-ao-meu-senhor/;;Apresentação das oferendas / Missa do Crisma / Salmo 115;Sim
COMO SÃO BELOS;Padre Zezinho;Padre Zezinho;;ENTRADA;Entrada;https://www.cifraclub.com.br/padre-zezinho/como-sao-belos/;https://www.cifraclub.com.br/padre-zezinho/como-sao-belos/;;Entrada / missão e anúncio;Sim
CONFESSO A DEUS;Comunidade Recado;Comunidade Recado;;ATO_PENITENCIAL;Ato Penitencial;https://www.cifraclub.com.br/comunidade-recado/confesso-a-deus/;https://www.cifraclub.com.br/comunidade-recado/confesso-a-deus/;;Ato penitencial / perdão;Sim
CONFIA, MINH'ALMA, NO SENHOR;Pe. Joseph Gelineau;Pe. Joseph Gelineau;;OFERTORIO;Apresentação das Oferendas;;;;Apresentação das oferendas / Fiéis Defuntos / Salmo 129;Sim
CONFIRMAI, Ó DEUS;Frei Wanderson Freitas;CNBB / Música Litúrgica;;OFERTORIO;Apresentação das Oferendas;https://www.cifraclub.com.br/cnbb/confirmai-o-deus/;https://www.cifraclub.com.br/cnbb/confirmai-o-deus/;https://www.youtube.com/watch?v=TEeY0Zuytc0;Apresentação das oferendas / Pentecostes;Sim
CONSAGRAÇÃO A NOSSA SENHORA;Repertório católico tradicional;Frei Gilson;;MARIANA;Mariana;https://www.cifraclub.com.br/frei-gilson/consagracao-a-nossa-senhora/;https://www.cifraclub.com.br/frei-gilson/consagracao-a-nossa-senhora/;https://www.youtube.com/results?search_query=Frei+Gilson+CONSAGRA%C3%87%C3%83O+A+NOSSA+SENHORA;Mariana / consagração;Sim
CONTEMPLAREI JUSTIFICADO;;;;ENTRADA;Entrada;;;;Entrada / antífona;Sim
CONVOSCO ESTAREI TODOS OS DIAS;Pe. José Weber, SVD;Pe. José Weber, SVD;;COMUNHAO;Comunhão;;;;Comunhão / Ascensão do Senhor;Sim
CORAÇÃO CONTRITO;Flavinho;Flavinho;;ATO_PENITENCIAL;Ato Penitencial;https://www.cifraclub.com.br/flavinho/coracao-contrito/;https://www.cifraclub.com.br/flavinho/coracao-contrito/;;Ato penitencial / reconciliação;Sim
CRISTO, PÃO DOS POBRES;Pe. José Freitas Campos;Pe. José Freitas Campos;;ENTRADA;Entrada;;;https://www.youtube.com/watch?v=xfCTs4rXrFU;Entrada / Corpus Christi;Sim
DAI-NOS A BÊNÇÃO, Ó MÃE QUERIDA;Repertório católico tradicional;Músicas Católicas;;MARIANA;Mariana;https://www.cifraclub.com.br/catolicas/dai-nos-a-bencao-o-mae-querida/;https://www.cifraclub.com.br/catolicas/dai-nos-a-bencao-o-mae-querida/;https://www.youtube.com/results?search_query=M%C3%BAsicas+Cat%C3%B3licas+DAI-NOS+A+B%C3%8AN%C3%87%C3%83O%2C+%C3%93+M%C3%83E+QUERIDA;Mariana / bênção e devoção;Sim
DE PAZ SÃO MEUS PENSAMENTOS;;;;ENTRADA;Entrada;;;;Entrada / antífona;Sim
DE TODOS CANTOS VIEMOS;;;;ENTRADA;Entrada;;;;Entrada / assembleia;Sim
DEUS DE AMOR;"Pe. Josmar Braga; música: José Alves";CNBB / Música Litúrgica;;FINAL;Final;https://www.cifraclub.com.br/cnbb/deus-de-amor/;https://www.cifraclub.com.br/cnbb/deus-de-amor/;https://www.youtube.com/watch?v=cwhkYfcVsW4;Louvor final / Corpus Christi / adoração;Sim
DEUS DE AMOR NÓS TE ADORAMOS;CNBB / Música Litúrgica;CNBB / Música Litúrgica;;FINAL;Final;https://www.cifraclub.com.br/cnbb/deus-de-amor-nos-te-adoramos/;https://www.cifraclub.com.br/cnbb/deus-de-amor-nos-te-adoramos/;https://www.youtube.com/watch?v=hWusDIVCD4Y;Louvor final / Corpus Christi / adoração;Sim
DEUS ENVIOU AOS NOSSOS CORAÇÕES;Paulo Neto;Paulo Neto;;COMUNHAO;Comunhão;;;https://www.youtube.com/watch?v=AyYzfppRLpY;Comunhão / Santíssima Trindade;Sim
DEUS INFINITO;CNBB / Música Litúrgica;CNBB / Música Litúrgica;;FINAL;Final;https://www.cifraclub.com.br/cnbb/deus-infinito/;https://www.cifraclub.com.br/cnbb/deus-infinito/;https://www.youtube.com/watch?v=z6Ta9Ca3haw;Louvor final / Corpus Christi;Sim
DO CÉU DESCEU A CHUVA;"D. Marcos Barbosa; Maximiliano Hellmann";CNBB / Música Litúrgica;;COMUNHAO;Comunhão;https://www.cifraclub.com.br/cnbb/do-ceu-desceu-a-chuva/;https://www.cifraclub.com.br/cnbb/do-ceu-desceu-a-chuva/;https://www.youtube.com/watch?v=RBy06HNc7uY;Comunhão / alimento vindo do céu;Sim
DO SEU POVO ELE É A FORÇA;;;;ENTRADA;Entrada;;;;Entrada / confiança no Senhor;Sim
DOCE PRESENÇA;Comunidade Católica Shalom;Comunidade Católica Shalom;;ADORACAO;Adoração;https://www.cifraclub.com.br/comunidade-catolica-shalom/doce-presenca/;https://www.cifraclub.com.br/comunidade-catolica-shalom/doce-presenca/;https://www.youtube.com/results?search_query=Comunidade+Cat%C3%B3lica+Shalom+DOCE+PRESEN%C3%87A;Adoração / presença de Deus;Sim
EIS A PROCISSÃO DO REI, NOSSO DEUS;Reginaldo Veloso;CNBB / Música Litúrgica;;OFERTORIO;Apresentação das Oferendas;https://www.cifraclub.com.br/cnbb/eis-a-procissao-do-rei-nosso-deus/;https://www.cifraclub.com.br/cnbb/eis-a-procissao-do-rei-nosso-deus/;https://www.youtube.com/watch?v=g_ijkjxh0HA;Apresentação das oferendas / Pentecostes / Ascensão;Sim
EIS JESUS, O PÃO DA VIDA;Prof. Saraiva;CNBB / Música Litúrgica;;COMUNHAO;Comunhão;https://www.cifraclub.com.br/cnbb/eis-jesus-o-pao-da-vida/;https://www.cifraclub.com.br/cnbb/eis-jesus-o-pao-da-vida/;;Comunhão / Jesus, Pão da Vida;Sim
EIS OS PENSAMENTOS DO SEU CORAÇÃO;;;;ENTRADA;Entrada;;;;Entrada / Sagrado Coração;Sim
EM MEMÓRIA DE MIM;Cardeal Odilo Scherer;Cardeal Odilo Scherer;;COMUNHAO;Comunhão;;;https://www.youtube.com/watch?v=K0v5Nv11QI8;Comunhão / memória eucarística;Sim
ENTREMOS NA CASA DO SENHOR;José Acácio;José Acácio;;ENTRADA;Entrada;;;https://www.youtube.com/watch?v=mLw6i8Bn4uk;Entrada / Santíssima Trindade;Sim
ENVIAI O VOSSO ESPÍRITO, SENHOR;Frei Joel Postma, OFM;CNBB / Música Litúrgica;;ESPIRITO_SANTO;Espírito Santo;https://www.cifraclub.com.br/cnbb/enviai-o-vosso-espirito-senhor/;https://www.cifraclub.com.br/cnbb/enviai-o-vosso-espirito-senhor/;https://www.youtube.com/watch?v=JeHCABENzq4;Pentecostes / Salmo 103(104);Sim
ENVIAI, SENHOR!;"Madre Tarcísia; música: José Alves";José Alves;;FINAL;Final;;;https://www.youtube.com/results?search_query=Jos%C3%A9+Alves+ENVIAI%2C+SENHOR%21;Canto final / Pentecostes / envio;Sim
ESCUTA, SENHOR, A VOZ DO POVO TEU;"Frei Telles Ramon, O. de M.; música: Wanderson Luiz Freitas, O.Carm.";CNBB / Música Litúrgica;;OFERTORIO;Apresentação das Oferendas;https://www.cifraclub.com.br/cnbb/escuta-senhor-a-voz-do-povo-teu/;https://www.cifraclub.com.br/cnbb/escuta-senhor-a-voz-do-povo-teu/;;Apresentação das oferendas / Quaresma;Sim
ESPÍRITO CRIADOR;André Zamur;CNBB / Música Litúrgica;;OFERTORIO;Apresentação das Oferendas;https://www.cifraclub.com.br/cnbb/espirito-criador/;https://www.cifraclub.com.br/cnbb/espirito-criador/;https://www.youtube.com/watch?v=nyLQaQQvtMk;Apresentação das oferendas / Pentecostes;Sim
ESPÍRITO DE DEUS;Repertório católico;Músicas Católicas;;ESPIRITO_SANTO;Espírito Santo;https://www.cifraclub.com.br/catolicas/espirito-de-deus/;https://www.cifraclub.com.br/catolicas/espirito-de-deus/;https://www.youtube.com/results?search_query=M%C3%BAsicas+Cat%C3%B3licas+ESP%C3%8DRITO+DE+DEUS;Invocação e presença do Espírito Santo;Sim
ESPÍRITO SANTO DE DEUS;Repertório católico;Músicas Católicas;;ESPIRITO_SANTO;Espírito Santo;https://www.cifraclub.com.br/catolicas/espirito-santo-de-deus/;https://www.cifraclub.com.br/catolicas/espirito-santo-de-deus/;https://www.youtube.com/results?search_query=M%C3%BAsicas+Cat%C3%B3licas+ESP%C3%8DRITO+SANTO+DE+DEUS;Invocação ao Espírito Santo;Sim
ESPÍRITO SANTO, VINDE;Repertório católico;Músicas Católicas;;ESPIRITO_SANTO;Espírito Santo;https://www.cifraclub.com.br/catolicas/espirito-santo-vinde/;https://www.cifraclub.com.br/catolicas/espirito-santo-vinde/;https://www.youtube.com/results?search_query=M%C3%BAsicas+Cat%C3%B3licas+ESP%C3%8DRITO+SANTO%2C+VINDE;Invocação ao Espírito Santo;Sim
ESPÍRITO, ENCHE A MINHA VIDA;Repertório cristão;Músicas Católicas;;ESPIRITO_SANTO;Espírito Santo;https://www.cifraclub.com.br/catolicas/espirito-enche-a-minha-vida/;https://www.cifraclub.com.br/catolicas/espirito-enche-a-minha-vida/;https://www.youtube.com/results?search_query=M%C3%BAsicas+Cat%C3%B3licas+ESP%C3%8DRITO%2C+ENCHE+A+MINHA+VIDA;Oração ao Espírito Santo / renovação;Sim
ESTAREMOS AQUI REUNIDOS;"Ir. Míria T. Kolling; Pe. Lúcio Floro";CNBB / Música Litúrgica;;ESPIRITO_SANTO;Espírito Santo;https://www.cifraclub.com.br/cnbb/estaremos-aqui-reunidos/;https://www.cifraclub.com.br/cnbb/estaremos-aqui-reunidos/;https://www.youtube.com/watch?v=0FwVj_5oPAM;Pentecostes / assembleia reunida no Espírito;Sim
EU QUISERA;CNBB / Música Litúrgica;CNBB / Música Litúrgica;;FINAL;Final;https://www.cifraclub.com.br/cnbb/eu-quisera/;https://www.cifraclub.com.br/cnbb/eu-quisera/;https://www.youtube.com/watch?v=jpK0u7cCx60;Louvor final / Corpus Christi / adoração;Sim
EU SOU O PÃO;Pe. José Cândido da Silva;CNBB / Música Litúrgica;;COMUNHAO;Comunhão;https://www.cifraclub.com.br/cnbb/eu-sou-o-pao/;https://www.cifraclub.com.br/cnbb/eu-sou-o-pao/;https://www.youtube.com/watch?v=bmsE4JKdlEY;Comunhão / Pão da Vida / Hinário Litúrgico da CNBB;Sim
EU SOU O PÃO VIVO DESCIDO DO CÉU;Pe. José Weber, SVD;Pe. José Weber, SVD;;COMUNHAO;Comunhão;;;https://www.youtube.com/watch?v=H1AS7mDY1ag;Comunhão / Corpus Christi / Jo 6;Sim
EU TE ADORO;Comunidade Católica Shalom;Comunidade Católica Shalom;;ADORACAO;Adoração;https://www.cifraclub.com.br/comunidade-catolica-shalom/eu-te-adoro/;https://www.cifraclub.com.br/comunidade-catolica-shalom/eu-te-adoro/;https://www.youtube.com/results?search_query=Comunidade+Cat%C3%B3lica+Shalom+EU+TE+ADORO;Adoração / louvor;Sim
EU VIM AO MUNDO DAR TESTEMUNHO;;;;ENTRADA;Entrada;;;;Entrada / Cristo Rei;Sim
EUCARISTIA - DOM DE DEUS;Ir. Míria T. Kolling;Ir. Míria T. Kolling;;COMUNHAO;Comunhão;https://www.cifraclub.com.br/irma-miria-t-kolling/eucaristia-dom-de-deus/;https://www.cifraclub.com.br/irma-miria-t-kolling/eucaristia-dom-de-deus/;https://www.youtube.com/watch?v=auRB0z8EC6M;Comunhão / Eucaristia;Sim
FAZEI MEUS DISCÍPULOS;Pe. José Weber, SVD;Pe. José Weber, SVD;;COMUNHAO;Comunhão;;;;Comunhão / Ascensão do Senhor;Sim
FICO FELIZ EM VIR EM TUA CASA;;;;ENTRADA;Entrada;;;;Entrada / casa do Senhor;Sim
FOI ELEVADA MARIA AO CÉU;"Gradual Romano; música: Gílson Celerino";Gílson Celerino;;OFERTORIO;Apresentação das Oferendas;;;;Apresentação das oferendas / Assunção de Nossa Senhora;Sim
GLORIFICA O SENHOR, JERUSALÉM;Joseph Gelineau, SJ;CNBB / Música Litúrgica;;OFERTORIO;Apresentação das Oferendas;https://www.cifraclub.com.br/cnbb/glorifica-o-senhor-jerusalem/;https://www.cifraclub.com.br/cnbb/glorifica-o-senhor-jerusalem/;;Apresentação das oferendas / Ascensão do Senhor;Sim
GLÓRIA A DEUS PAI;Reginaldo Veloso;Reginaldo Veloso;;ENTRADA;Entrada;;;https://www.youtube.com/watch?v=-8tZqNI_8Q8;Entrada / Santíssima Trindade;Sim
GLÓRIA A JESUS NA HÓSTIA SANTA;CNBB / Música Litúrgica;CNBB / Música Litúrgica;;FINAL;Final;https://www.cifraclub.com.br/cnbb/gloria-a-jesus-na-hostia-santa/;https://www.cifraclub.com.br/cnbb/gloria-a-jesus-na-hostia-santa/;https://www.youtube.com/watch?v=k9g4-oPL9M0;Louvor final / Corpus Christi / adoração;Sim
GLÓRIA AO PAI, DOS HOMENS, DOS ANJOS;José Alves;José Alves;;ENTRADA;Entrada;;;https://www.youtube.com/watch?v=rFSQJjk4ilw;Entrada / Santíssima Trindade;Sim
GLÓRIA, AO PAI CRIADOR;Gustavo Balbinot;Gustavo Balbinot;;ENTRADA;Entrada;;;https://www.youtube.com/watch?v=uzaLHnvcaH4;Entrada / Santíssima Trindade;Sim
GRAÇAS VOS DOU, SENHOR;Frei Wanderson Luiz Freitas, O.Carm.;Frei Wanderson Luiz Freitas, O.Carm.;;COMUNHAO;Comunhão;;;;Comunhão / Santos Arcanjos / Salmo 137;Sim
HINO DE ADORAÇÃO;"Anônimo séc. XV; adaptação: Pe. Jacques Zwaanenburg";CNBB / Música Litúrgica;;FINAL;Final;https://www.cifraclub.com.br/cnbb/hino-de-adoracao/;https://www.cifraclub.com.br/cnbb/hino-de-adoracao/;https://www.youtube.com/watch?v=Rm-c7ruowIc;Louvor final / Corpus Christi / adoração e procissão;Sim
HOJE É TEMPO DE LOUVAR A DEUS;;;;ENTRADA;Entrada;;;;Entrada / louvor;Sim
HOMENAGEM A MARIA;"Pe. José Bortolini; música: Ir. Míria T. Kolling";Ir. Míria T. Kolling;;FINAL;Final;https://www.cifraclub.com.br/irma-miria-t-kolling/homenagem-a-maria/;https://www.cifraclub.com.br/irma-miria-t-kolling/homenagem-a-maria/;https://www.youtube.com/results?search_query=Ir.+M%C3%ADria+T.+Kolling+HOMENAGEM+A+MARIA;Canto final / mariano / Assunção de Nossa Senhora;Sim
HÓSTIAS E PRECES DE LOUVOR;Fr. Joel Postma, OFM;Fr. Joel Postma, OFM;;OFERTORIO;Apresentação das Oferendas;;;;Apresentação das oferendas / Fiéis Defuntos;Sim
