titulo,autor,interprete,tom,letra,cifra,link_referencia,observacao
"A NÓS DESCEI, DIVINA LUZ",Reginaldo Veloso,CNBB / Música Litúrgica,"","","",https://www.youtube.com/watch?v=UcAo7Nzf-mg,Pentecostes / invocação ao Espírito Santo
A OFERTA DE MARIA,Ministério Amor e Adoração,Ministério Amor e Adoração,"",https://www.cifraclub.com.br/ministerio-amor-e-adoracao/a-oferta-de-maria/,https://www.cifraclub.com.br/ministerio-amor-e-adoracao/a-oferta-de-maria/,https://www.youtube.com/results?search_query=Ministério+Amor+e+Adoração+A+Oferta+de+Maria,Apresentação das oferendas
A OVELHA SOU EU,Toca de Assis,Toca de Assis,"","","","",Reconciliação / ato penitencial
A PALAVRA DE DEUS NOS CONVIDA,"","","","","","",Entrada / Palavra de Deus
A PAZ,Canção Nova,Canção Nova,"",https://www.cifraclub.com.br/cancao-nova/a-paz/,https://www.cifraclub.com.br/cancao-nova/a-paz/,https://www.youtube.com/results?search_query=Canção+Nova+A+Paz,Pós-comunhão / oração / ação de graças
A PORTA DO CÉU,Comunidade Católica Shalom,Comunidade Católica Shalom,"",https://www.cifraclub.com.br/comunidade-catolica-shalom/a-porta-do-ceu/,https://www.cifraclub.com.br/comunidade-catolica-shalom/a-porta-do-ceu/,https://www.youtube.com/results?search_query=Comunidade+Católica+Shalom+A+Porta+do+Céu,Pós-comunhão / oração / ação de graças
A PROCURA,Ministério Amor e Adoração,Ministério Amor e Adoração,"",https://www.cifraclub.com.br/ministerio-amor-e-adoracao/a-procura/,https://www.cifraclub.com.br/ministerio-amor-e-adoracao/a-procura/,https://www.youtube.com/results?search_query=Ministério+Amor+e+Adoração+A+Procura,Pós-comunhão / oração / ação de graças
A SANTIDADE EU VOU BUSCAR,Ministério Missionário Shalom,Ministério Missionário Shalom,"",https://www.cifraclub.com.br/missionario-shalom/a-santidade-eu-vou-buscar/,https://www.cifraclub.com.br/missionario-shalom/a-santidade-eu-vou-buscar/,https://www.youtube.com/results?search_query=Ministério+Missionário+Shalom+A+Santidade+Eu+Vou+Buscar,Pós-comunhão / oração / ação de graças
A SÓS CONTIGO,Ministério Amor e Adoração,Ministério Amor e Adoração,"",https://www.cifraclub.com.br/ministerio-amor-e-adoracao/a-sos-contigo/,https://www.cifraclub.com.br/ministerio-amor-e-adoracao/a-sos-contigo/,https://www.youtube.com/results?search_query=Ministério+Amor+e+Adoração+A+Sós+Contigo,Pós-comunhão / oração / ação de graças
A TERRA AMIGA,"Frei José Moacyr Cadenassi, OFMCap; música: Frei José Luiz Prim, OFM","Frei José Luiz Prim, OFM","","","","",Apresentação das oferendas / Celebrações marianas
A TERRA APAVORADA EMUDECEU,"Frei Joel Postma, OFM","Frei Joel Postma, OFM","","","","",Comunhão / Ascensão do Senhor
A TREZE DE MAIO,Repertório católico tradicional,Músicas Católicas,"","","",https://www.youtube.com/results?search_query=M%C3%BAsicas+Cat%C3%B3licas+A+TREZE+DE+MAIO,Mariana / Nossa Senhora de Fátima
A TUA TERNURA,Comunidade Católica Shalom,Comunidade Católica Shalom,Ab,https://www.cifraclub.com.br/comunidade-catolica-shalom/a-tua-ternura/,https://www.cifraclub.com.br/comunidade-catolica-shalom/a-tua-ternura/,https://www.youtube.com/results?search_query=Comunidade+Católica+Shalom+A+Tua+Ternura,Pós-comunhão / oração / ação de graças
A VIDA DOS JUSTOS,"Graduale Romanum; Liturgia das Horas; música: Fr. Joel Postma, OFM","Fr. Joel Postma, OFM","","","","",Apresentação das oferendas / Todos os Santos / Fiéis Defuntos
A VOSSA GRAÇA,Canção Nova,Canção Nova,"",https://www.cifraclub.com.br/cancao-nova/a-vossa-graca/,https://www.cifraclub.com.br/cancao-nova/a-vossa-graca/,https://www.youtube.com/results?search_query=Canção+Nova+A+Vossa+Graça,Pós-comunhão / oração / ação de graças
"A VÓS, SENHOR, APRESENTAMOS",Elvira Dordlom,CNBB,Ab,https://www.cifraclub.com.br/cnbb/a-vos-senhor-apresentamos/,https://www.cifraclub.com.br/cnbb/a-vos-senhor-apresentamos/,"","Apresentação das oferendas / Pão, vinho e Salmo 115"
ABRAÇO DE PAI,Adriana Arydes,Adriana Arydes,A,https://www.cifraclub.com.br/adriana/abraco-de-pai/,https://www.cifraclub.com.br/adriana/abraco-de-pai/,"",Oração / misericórdia / ação de graças
ABRAÇO ETERNO,Padre Fábio de Melo,Padre Fábio de Melo,"",https://www.cifraclub.com.br/pe-fabio-de-melo/abraco-eterno/,https://www.cifraclub.com.br/pe-fabio-de-melo/abraco-eterno/,https://www.youtube.com/results?search_query=Padre+Fábio+de+Melo+Abraço+Eterno,Pós-comunhão / oração / ação de graças
ABRO AS PORTAS,Comunidade Católica Shalom,Comunidade Católica Shalom,"",https://www.cifraclub.com.br/comunidade-catolica-shalom/abro-as-portas/,https://www.cifraclub.com.br/comunidade-catolica-shalom/abro-as-portas/,https://www.youtube.com/results?search_query=Comunidade+Católica+Shalom+Abro+as+Portas,Pós-comunhão / oração / ação de graças
ACALMA MINHA TEMPESTADE,Frei Gilson,Frei Gilson,G,https://www.letras.mus.br/frei-gilson/3107418/,https://www.cifraclub.com.br/frei-gilson/acalma-minha-tempestade/,"",Oração / confiança
"ACEITA, SENHOR, COM PRAZER",Reginaldo Veloso; música: Daniel De Angeles,CNBB / Música Litúrgica,"","","","",Apresentação das oferendas / Quaresma
ACLAMAÇÃO AO EVANGELHO - ADVENTO,Católica,Músicas Católicas,Gm,https://www.cifraclub.com.br/catolicas/aclamacao-ao-evangelho-advento/,https://www.cifraclub.com.br/catolicas/aclamacao-ao-evangelho-advento/,"",Aclamação ao Evangelho própria para o Advento
"ADORAR-TE, SENHOR",Comunidade Católica Shalom,Comunidade Católica Shalom,"","","",https://www.youtube.com/results?search_query=Comunidade+Cat%C3%B3lica+Shalom+ADORAR-TE%2C+SENHOR,Adoração / louvor
ADORAÇÃO,Renato Borges Neto; Gustavo Osterno,Comunidade Católica Shalom,E,https://www.cifraclub.com.br/comunidade-catolica-shalom/adoracao/,https://www.cifraclub.com.br/comunidade-catolica-shalom/adoracao/,https://www.youtube.com/results?search_query=Comunidade+Cat%C3%B3lica+Shalom+ADORA%C3%87%C3%83O,Pós-comunhão / adoração
AGNUS DEI,Comunidade Católica Shalom,Comunidade Católica Shalom,"",https://www.cifraclub.com.br/comunidade-catolica-shalom/agnus-dei/,https://www.cifraclub.com.br/comunidade-catolica-shalom/agnus-dei/,https://www.youtube.com/results?search_query=Comunidade+Católica+Shalom+Agnus+Dei,Cordeiro de Deus
ALEGRES VAMOS À CASA DO PAI,"","","","","","",Entrada / reunião da assembleia
ALELUIA,Ministério Amor e Adoração,Ministério Amor e Adoração,"",https://www.cifraclub.com.br/ministerio-amor-e-adoracao/aleluia/,https://www.cifraclub.com.br/ministerio-amor-e-adoracao/aleluia/,https://www.youtube.com/results?search_query=Ministério+Amor+e+Adoração+Aleluia,Aclamação / Palavra
ALELUIA - ACLAMAÇÃO AO EVANGELHO,Canção Nova,Canção Nova,"",https://www.cifraclub.com.br/cancao-nova/aleluia-aclamacao-ao-evangelho/,https://www.cifraclub.com.br/cancao-nova/aleluia-aclamacao-ao-evangelho/,https://www.youtube.com/results?search_query=Canção+Nova+Aleluia+-+Aclamação+ao+Evangelho,Aclamação / Palavra
"ALELUIA, ACLAMEMOS A PALAVRA DO SENHOR",Músicas Católicas,Músicas Católicas,Cm,https://www.cifraclub.com.br/catolicas/aleluia-aclamemos-a-palavra-do-senhor/,https://www.cifraclub.com.br/catolicas/aleluia-aclamemos-a-palavra-do-senhor/,"",Aclamação ao Evangelho / uso geral fora da Quaresma
"ALELUIA, ALELUIA! VAMOS ACLAMAR O EVANGELHO",Músicas Católicas,Músicas Católicas,A,https://www.cifraclub.com.br/catolicas/aleluia-aleluia-vamos-aclamar-o-evangelho-a-aleluia/,https://www.cifraclub.com.br/catolicas/aleluia-aleluia-vamos-aclamar-o-evangelho-a-aleluia/,"",Aclamação ao Evangelho / uso geral fora da Quaresma
"ALELUIA, EU SOU O PÃO DA VIDA","Pe. José Weber, SVD","Pe. José Weber, SVD","","","","",Aclamação ao Evangelho / Corpus Christi; referência no Hinário Litúrgico da CNBB
"ALELUIA, EU SOU O PÃO VIVO",Ir. Janete Stürmer,Ir. Janete Stürmer,"","","",https://www.youtube.com/watch?v=WWsl5DciSLs,Aclamação ao Evangelho / Corpus Christi
"ALELUIA, EU TE LOUVO, Ó PAI SANTO",Reginaldo Veloso,Reginaldo Veloso,"","","","",Aclamação ao Evangelho / Comemoração dos Fiéis Defuntos
"ALELUIA, GLÓRIA AO PAI",Ir. Míria T. Kolling,Ir. Míria T. Kolling,"","","","",Aclamação ao Evangelho / Santíssima Trindade
"ALELUIA, MARIA É ELEVADA",Valdeci Farias; José Acácio Santana,CNBB / Música Litúrgica,"","","","",Aclamação ao Evangelho / Assunção de Nossa Senhora
"ALELUIA, NÓS VOS ADORAMOS","Frei Fabreti, OFM","Frei Fabreti, OFM","","","","",Aclamação ao Evangelho / Exaltação da Santa Cruz
"ALELUIA, VINDE A MIM",Reginaldo Veloso,Reginaldo Veloso,"","","","",Aclamação ao Evangelho / Todos os Santos
"ALELUIA, VINDE ESPÍRITO",Fr. Joel Postma,Fr. Joel Postma,"","","",https://www.youtube.com/watch?v=7HdHVsBdE0w,Aclamação ao Evangelho / Pentecostes
"ALELUIA, VINDE, ESPÍRITO SANTO","Frei Fabreti, OFM","Frei Fabreti, OFM","","","",https://www.youtube.com/watch?v=SlJDn4Tz-3c,Aclamação ao Evangelho / Pentecostes
"ALELUIA, É ESTA A VONTADE DE QUEM ME ENVIOU",D.R.,D.R.,"","","","",Aclamação ao Evangelho / Comemoração dos Fiéis Defuntos
ALGUÉM DO POVO EXCLAMA,Músicas Católicas,Músicas Católicas,G,https://www.cifraclub.com.br/catolicas/alguem-do-povo-exclama-aclamacao-do-evangelho/,https://www.cifraclub.com.br/catolicas/alguem-do-povo-exclama-aclamacao-do-evangelho/,"",Aclamação ao Evangelho / uso geral; conferir versículo com a celebração
ALMA DE CRISTO,Comunidade Católica Shalom,Comunidade Católica Shalom,C,https://www.cifraclub.com.br/comunidade-catolica-shalom/alma-de-cristo/,https://www.cifraclub.com.br/comunidade-catolica-shalom/alma-de-cristo/,https://www.youtube.com/results?search_query=Comunidade+Católica+Shalom+Alma+de+Cristo,Comunhão / Eucaristia
AMADOS POR DEUS,Comunidade Católica Shalom,Comunidade Católica Shalom,"",https://www.cifraclub.com.br/comunidade-catolica-shalom/amados-por-deus/,https://www.cifraclub.com.br/comunidade-catolica-shalom/amados-por-deus/,https://www.youtube.com/results?search_query=Comunidade+Católica+Shalom+Amados+por+Deus,Pós-comunhão / oração / ação de graças
AMADOS POR DEUS / GLÓRIA SHALOM,Comunidade Católica Shalom,Comunidade Católica Shalom,"",https://www.cifraclub.com.br/comunidade-catolica-shalom/amados-por-deus-gloria-shalom/,https://www.cifraclub.com.br/comunidade-catolica-shalom/amados-por-deus-gloria-shalom/,https://www.youtube.com/results?search_query=Comunidade+Católica+Shalom+Amados+Por+Deus+/+Glória+Shalom,Pós-comunhão / oração / ação de graças
AMAR-TE MAIS,Davidson Silva,Davidson Silva,"",https://www.cifraclub.com.br/davidson-silva/amar-te-mais/,https://www.cifraclub.com.br/davidson-silva/amar-te-mais/,https://www.youtube.com/results?search_query=Davidson+Silva+Amar-te+Mais,Pós-comunhão / oração / ação de graças
AMOR NÃO AMADO,Comunidade Católica Shalom,Comunidade Católica Shalom,"",https://www.cifraclub.com.br/comunidade-catolica-shalom/amor-nao-amado/,https://www.cifraclub.com.br/comunidade-catolica-shalom/amor-nao-amado/,https://www.youtube.com/results?search_query=Comunidade+Católica+Shalom+Amor+Não+Amado,Pós-comunhão / oração / ação de graças
AMÉM,Comunidade Católica Shalom,Comunidade Católica Shalom,"",https://www.cifraclub.com.br/comunidade-catolica-shalom/amem/,https://www.cifraclub.com.br/comunidade-catolica-shalom/amem/,https://www.youtube.com/results?search_query=Comunidade+Católica+Shalom+Amém,Pós-comunhão / oração / ação de graças
ANJOS DO SENHOR,Paulo Neto,Paulo Neto,"","","","",Comunhão / Santos Arcanjos / Daniel 3
ANTÍFONAS DE ADORAÇÃO,Comunidade Católica Shalom,Comunidade Católica Shalom,"",https://www.cifraclub.com.br/comunidade-catolica-shalom/antifonas-de-adoracao/,https://www.cifraclub.com.br/comunidade-catolica-shalom/antifonas-de-adoracao/,https://www.youtube.com/results?search_query=Comunidade+Católica+Shalom+Antífonas+de+Adoração,Adoração
AO OUVIR TUA VOZ,Comunidade Católica Shalom,Comunidade Católica Shalom,"",https://www.cifraclub.com.br/comunidade-catolica-shalom/ao-ouvir-tua-voz/,https://www.cifraclub.com.br/comunidade-catolica-shalom/ao-ouvir-tua-voz/,https://www.youtube.com/results?search_query=Comunidade+Católica+Shalom+Ao+Ouvir+Tua+Voz,Pós-comunhão / oração / ação de graças
AOS MÚSICOS,Canção Nova,Canção Nova,"",https://www.cifraclub.com.br/cancao-nova/aos-musicos/,https://www.cifraclub.com.br/cancao-nova/aos-musicos/,https://www.youtube.com/results?search_query=Canção+Nova+Aos+Músicos,Pós-comunhão / oração / ação de graças
APAIXONADO,Davidson Silva,Davidson Silva,"",https://www.cifraclub.com.br/davidson-silva/apaixonado/,https://www.cifraclub.com.br/davidson-silva/apaixonado/,https://www.youtube.com/results?search_query=Davidson+Silva+Apaixonado,Pós-comunhão / oração / ação de graças
APRESSADAMENTE,Ministério Amor e Adoração,Ministério Amor e Adoração,"",https://www.cifraclub.com.br/ministerio-amor-e-adoracao/apressadamente/,https://www.cifraclub.com.br/ministerio-amor-e-adoracao/apressadamente/,https://www.youtube.com/results?search_query=Ministério+Amor+e+Adoração+Apressadamente,Pós-comunhão / oração / ação de graças
AS MURALHAS,Ministério Amor e Adoração,Ministério Amor e Adoração,"",https://www.cifraclub.com.br/ministerio-amor-e-adoracao/as-muralhas/,https://www.cifraclub.com.br/ministerio-amor-e-adoracao/as-muralhas/,https://www.youtube.com/results?search_query=Ministério+Amor+e+Adoração+As+Muralhas,Pós-comunhão / oração / ação de graças
ATO PENITENCIAL - 3ª FÓRMULA DO ADVENTO,Missal Romano,Missal Romano,Dm,https://www.cifraclub.com.br/missal-romano/ato-penitencial-2-formula-do-advento/versao-2.html,https://www.cifraclub.com.br/missal-romano/ato-penitencial-2-formula-do-advento/versao-2.html,"",Ato penitencial / Advento / reconciliação
ATO PENITENCIAL - SENHOR BOM PASTOR,Músicas Católicas,Músicas Católicas,Ab,https://www.cifraclub.com.br/catolicas/ato-penitencial-senhor-bom-pastor/,https://www.cifraclub.com.br/catolicas/ato-penitencial-senhor-bom-pastor/,https://www.youtube.com/watch?v=x4MKV8j-1DA,Ato penitencial / Bom Pastor
ATO PENITENCIAL - SENHOR QUE SOIS O CAMINHO,Missa,Missa,Eb,https://www.cifraclub.com.br/missa/ato-penitencial/,https://www.cifraclub.com.br/missa/ato-penitencial/,"",Ato penitencial / Tempo Comum
ATO PENITENCIAL - TEMPO PASCAL - SENHOR QUE PELO ESPÍRITO SANTO,Músicas Católicas,Músicas Católicas,G,https://www.cifraclub.com.br/catolicas/melodia-ato-penitencial-pascoa-formula-3-senhor-que-pelo-espirito-santo/,https://www.cifraclub.com.br/catolicas/melodia-ato-penitencial-pascoa-formula-3-senhor-que-pelo-espirito-santo/,"",Ato penitencial / Tempo Pascal
ATO PENITENCIAL - TEMPO PASCAL - SENHOR QUE SUBINDO AO CÉU,Marcus Vinícius Lima,Marcus Vinícius Lima,E,https://www.cifraclub.com.br/marcus-vinicius-lima/ato-penitencial-tempo-pascal-3-opcao-senhor-que-subindo-ao-ceu/,https://www.cifraclub.com.br/marcus-vinicius-lima/ato-penitencial-tempo-pascal-3-opcao-senhor-que-subindo-ao-ceu/,"",Ato penitencial / Tempo Pascal
ATO PENITENCIAL DO ADVENTO,Cláudio Santos; Jonas Rodrigues,Músicas Católicas,E,https://www.cifraclub.com.br/catolicas/ato-penitencial-do-advento/sjwhthm.html,https://www.cifraclub.com.br/catolicas/ato-penitencial-do-advento/sjwhthm.html,"",Ato penitencial / Advento
ATO PENITENCIAL | KYRIE ELEISON,Canção Nova,Canção Nova,"",https://www.cifraclub.com.br/cancao-nova/ato-penitencial-kyrie-eleison/,https://www.cifraclub.com.br/cancao-nova/ato-penitencial-kyrie-eleison/,https://www.youtube.com/results?search_query=Canção+Nova+Ato+Penitencial+|+Kyrie+Eleison,Ato penitencial
ATÉ OS CONFINS DA TERRA,Comunidade Católica Shalom,Comunidade Católica Shalom,"",https://www.cifraclub.com.br/comunidade-catolica-shalom/ate-os-confins-da-terra/,https://www.cifraclub.com.br/comunidade-catolica-shalom/ate-os-confins-da-terra/,https://www.youtube.com/results?search_query=Comunidade+Católica+Shalom+Até+Os+Confins+da+Terra,Envio / encerramento
AVE DE FÁTIMA,Repertório católico tradicional,Músicas Católicas,"","","",https://www.youtube.com/results?search_query=M%C3%BAsicas+Cat%C3%B3licas+AVE+DE+F%C3%81TIMA,Mariana / Nossa Senhora de Fátima
AVE MARIA,"Pe. Zezinho, SCJ",Padre Zezinho,"","","",https://www.youtube.com/results?search_query=Padre+Zezinho+AVE+MARIA,Mariana / Ave-Maria
"AVE, RAINHA DO CÉU",Liturgia das Horas; música: Pe. José Weber,Pe. José Weber,"","","",https://www.youtube.com/results?search_query=Pe.+Jos%C3%A9+Weber+AVE%2C+RAINHA+DO+C%C3%89U,Canto final / antífona mariana; indicada pela CNBB
"AVE, RAINHA DO CÉU (VIRGEM MÃE, Ó MARIA)",Liturgia das Horas; música: D.R.,CNBB / Música Litúrgica,"","","",https://www.youtube.com/results?search_query=CNBB+%2F+M%C3%BAsica+Lit%C3%BArgica+AVE%2C+RAINHA+DO+C%C3%89U+%28VIRGEM+M%C3%83E%2C+%C3%93+MARIA%29,Canto final / antífona mariana / Tempo Comum
BANQUETE ETERNO,Comunidade Católica Shalom,Comunidade Católica Shalom,"",https://www.cifraclub.com.br/comunidade-catolica-shalom/banquete-eterno/,https://www.cifraclub.com.br/comunidade-catolica-shalom/banquete-eterno/,https://www.youtube.com/results?search_query=Comunidade+Católica+Shalom+Banquete+Eterno,Comunhão / Eucaristia
BASTA UMA SÓ PALAVRA,Ministério Amor e Adoração,Ministério Amor e Adoração,"",https://www.cifraclub.com.br/ministerio-amor-e-adoracao/basta-uma-so-palavra/,https://www.cifraclub.com.br/ministerio-amor-e-adoracao/basta-uma-so-palavra/,https://www.youtube.com/results?search_query=Ministério+Amor+e+Adoração+Basta+Uma+Só+Palavra,Pós-comunhão / oração / ação de graças
BELO AMOR DE DEUS,Davidson Silva,Davidson Silva,"",https://www.cifraclub.com.br/davidson-silva/belo-amor-de-deus/,https://www.cifraclub.com.br/davidson-silva/belo-amor-de-deus/,https://www.youtube.com/results?search_query=Davidson+Silva+Belo+Amor+de+Deus,Pós-comunhão / oração / ação de graças
BELÍSSIMO ESPOSO,Comunidade Católica Shalom,Comunidade Católica Shalom,A,https://www.cifraclub.com.br/comunidade-catolica-shalom/belissimo-esposo/,https://www.cifraclub.com.br/comunidade-catolica-shalom/belissimo-esposo/,https://www.youtube.com/results?search_query=Comunidade+Católica+Shalom+Belíssimo+Esposo,Pós-comunhão / oração / ação de graças
BEM AVENTURADA ÉS,Gradual Romano; música e adaptação: Gílson Celerino,Gílson Celerino,"","","","",Apresentação das oferendas / Assunção / Imaculada Conceição
BEM AVENTURADOS,Padre Zezinho,Padre Zezinho,"","","","",Entrada / bem-aventuranças
BENDEZEI O SENHOR NOS ALTOS CÉUS E NAS ALTURAS,Joseph Gelineau,Joseph Gelineau,"","","","",Comunhão / Santos Arcanjos / Salmo 148
BENDIREI AO SENHOR DEUS,Canção Nova,Canção Nova,"",https://www.cifraclub.com.br/cancao-nova/bendirei-ao-senhor-deus/,https://www.cifraclub.com.br/cancao-nova/bendirei-ao-senhor-deus/,https://www.youtube.com/results?search_query=Canção+Nova+Bendirei+Ao+Senhor+Deus,Pós-comunhão / oração / ação de graças
BENDITO SEJA DEUS,D.R.,D.R.,"","","",https://www.youtube.com/watch?v=KhD5qAJlX54,Entrada / Santíssima Trindade
BENDITO SEJA DEUS PAI,"","","","","","",Entrada / louvor trinitário
BENDITO SEJA O NOME DO SENHOR,"Missal Romano; música: Pe. José Weber, SVD","Pe. José Weber, SVD","","","","",Apresentação das oferendas / Ascensão; indicada quando cantada pelo presidente
BENDITO SEJAIS SENHOR,Canção Nova,Canção Nova,"",https://www.cifraclub.com.br/cancao-nova/bendito-sejais-senhor/,https://www.cifraclub.com.br/cancao-nova/bendito-sejais-senhor/,https://www.youtube.com/results?search_query=Canção+Nova+Bendito+Sejais+Senhor,Pós-comunhão / oração / ação de graças
BENDITO SEJAS,CNBB / Música Litúrgica,CNBB / Música Litúrgica,"","","","",Apresentação das oferendas / Missa do Crisma
BENDITO SEJAS TU,José Alves,José Alves,"","","",https://www.youtube.com/watch?v=abwQk_33zJA,Entrada / Santíssima Trindade
"BENDITO SEJAS, SENHOR",Frei Fabretti,Frei Fabretti,C,https://www.cifraclub.com.br/frei-fabretti/bendito-sejas-senhor/,https://www.cifraclub.com.br/frei-fabretti/bendito-sejas-senhor/,"","Apresentação das oferendas / Trigo, vinho e oferta da vida"
BENDIZEI NOSSO DEUS,Reginaldo Veloso,Reginaldo Veloso,"","","",https://www.youtube.com/watch?v=BzRnFAp599Y,Entrada / Santíssima Trindade
CADA DIA,Davidson Silva,Davidson Silva,"",https://www.cifraclub.com.br/davidson-silva/cada-dia/,https://www.cifraclub.com.br/davidson-silva/cada-dia/,https://www.youtube.com/results?search_query=Davidson+Silva+Cada+Dia,Pós-comunhão / oração / ação de graças
CANTAI AO SENHOR UM NOVO CANTO,Geraldo Leite Bastos; música: Reginaldo Veloso,Reginaldo Veloso,"","","","",Apresentação das oferendas / Ascensão do Senhor
CANTE EM PAZ,Adriana Arydes,Adriana Arydes,"",https://www.cifraclub.com.br/adriana/cante-em-paz/,https://www.cifraclub.com.br/adriana/cante-em-paz/,https://www.youtube.com/results?search_query=Adriana+Arydes+Cante+em+Paz,Pós-comunhão / oração / ação de graças
CANTO FINAL - MISSA SERTANEJA,Maestro Marino Cafundó,Grupo Musical Dom Valioso,E,https://www.cifraclub.com.br/grupo-musical-dom-valioso/canto-final-missa-sertaneja/,https://www.cifraclub.com.br/grupo-musical-dom-valioso/canto-final-missa-sertaneja/,https://www.youtube.com/results?search_query=Grupo+Musical+Dom+Valioso+CANTO+FINAL+-+MISSA+SERTANEJA,Canto final / levar ao mundo o amor recebido na celebração
CANTO NOVO,Davidson Silva,Davidson Silva,"",https://www.cifraclub.com.br/davidson-silva/canto-novo/,https://www.cifraclub.com.br/davidson-silva/canto-novo/,https://www.youtube.com/results?search_query=Davidson+Silva+Canto+Novo,Entrada / acolhida da assembleia
CANÇÃO NOVA,Canção Nova,Canção Nova,"",https://www.cifraclub.com.br/cancao-nova/cancao-nova/,https://www.cifraclub.com.br/cancao-nova/cancao-nova/,https://www.youtube.com/results?search_query=Canção+Nova+Canção+Nova,Pós-comunhão / oração / ação de graças
CELEBRAMOS O AMOR,Ministério Amor e Adoração,Ministério Amor e Adoração,"",https://www.cifraclub.com.br/ministerio-amor-e-adoracao/celebramos-o-amor/,https://www.cifraclub.com.br/ministerio-amor-e-adoracao/celebramos-o-amor/,https://www.youtube.com/results?search_query=Ministério+Amor+e+Adoração+Celebramos+o+Amor,Entrada / acolhida da assembleia
CELEBRAR,Salette Ferreira,Salette Ferreira,"","","","",Entrada / celebração
CHAGAS ABERTAS,Padre Fábio de Melo,Padre Fábio de Melo,"",https://www.cifraclub.com.br/pe-fabio-de-melo/chagas-abertas/,https://www.cifraclub.com.br/pe-fabio-de-melo/chagas-abertas/,https://www.youtube.com/results?search_query=Padre+Fábio+de+Melo+Chagas+Abertas,Pós-comunhão / oração / ação de graças
CHEIOS DA TUA GLÓRIA,Ministério Amor e Adoração,Ministério Amor e Adoração,"",https://www.cifraclub.com.br/ministerio-amor-e-adoracao/cheios-da-tua-gloria/,https://www.cifraclub.com.br/ministerio-amor-e-adoracao/cheios-da-tua-gloria/,https://www.youtube.com/results?search_query=Ministério+Amor+e+Adoração+Cheios+da+Tua+Glória,Pós-comunhão / oração / ação de graças
CHEIOS DE FERVOR,COMUNIDADE CATÓLICA SHALOM,COMUNIDADE CATÓLICA SHALOM,Ab,https://www.cifraclub.com.br/comunidade-catolica-shalom/cheios-de-fervor/,https://www.cifraclub.com.br/comunidade-catolica-shalom/cheios-de-fervor/,https://www.youtube.com/results?search_query=Comunidade+Cat%C3%B3lica+Shalom+CHEIOS+DE+FERVOR,Louvor / vida comunitária
